treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,47.0,43.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,45.0,0.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,90.0,0.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,33.0,12.0,0.0,45.0
symmetric,AGV vs. RAND,0,65.0,0.0,25.0,0.0,90.0
symmetric,AGV vs. RAND,1,35.0,0.0,10.0,0.0,45.0
symmetric,AGV vs. NSQ,0,45.0,0.0,0.0,45.0,90.0
symmetric,AGV vs. NSQ,1,38.0,0.0,0.0,7.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,88.0,2.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,45.0,0.0,45.0
symmetric,SM vs. NSQ,0,0.0,81.0,0.0,9.0,90.0
symmetric,SM vs. NSQ,1,0.0,40.0,0.0,5.0,45.0
+7,AGV vs. SM,0,56.0,28.0,0.0,0.0,84.0
+7,AGV vs. SM,1,34.0,8.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,84.0,0.0,0.0,84.0
+7,SM vs. RAND,1,0.0,26.0,16.0,0.0,42.0
+7,AGV vs. RAND,0,62.0,0.0,22.0,0.0,84.0
+7,AGV vs. RAND,1,28.0,0.0,14.0,0.0,42.0
+7,AGV vs. NSQ,0,43.0,0.0,0.0,41.0,84.0
+7,AGV vs. NSQ,1,19.0,0.0,0.0,23.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,84.0,0.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,42.0,0.0,42.0
+7,SM vs. NSQ,0,0.0,84.0,0.0,0.0,84.0
+7,SM vs. NSQ,1,0.0,36.0,0.0,6.0,42.0
-7,AGV vs. SM,0,55.0,35.0,0.0,0.0,90.0
-7,AGV vs. SM,1,45.0,0.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,90.0,0.0,0.0,90.0
-7,SM vs. RAND,1,0.0,30.0,15.0,0.0,45.0
-7,AGV vs. RAND,0,67.0,0.0,23.0,0.0,90.0
-7,AGV vs. RAND,1,20.0,0.0,25.0,0.0,45.0
-7,AGV vs. NSQ,0,46.0,0.0,0.0,44.0,90.0
-7,AGV vs. NSQ,1,45.0,0.0,0.0,0.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,90.0,0.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,45.0,0.0,45.0
-7,SM vs. NSQ,0,0.0,90.0,0.0,0.0,90.0
-7,SM vs. NSQ,1,0.0,38.0,0.0,7.0,45.0
three neg,AGV vs. SM,0,20.0,16.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,18.0,0.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,36.0,0.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,11.0,7.0,0.0,18.0
three neg,AGV vs. RAND,0,33.0,0.0,3.0,0.0,36.0
three neg,AGV vs. RAND,1,7.0,0.0,11.0,0.0,18.0
three neg,AGV vs. NSQ,0,20.0,0.0,0.0,16.0,36.0
three neg,AGV vs. NSQ,1,18.0,0.0,0.0,0.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,36.0,0.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,18.0,0.0,18.0
three neg,SM vs. NSQ,0,0.0,36.0,0.0,0.0,36.0
three neg,SM vs. NSQ,1,0.0,6.0,0.0,12.0,18.0
