treatment_distribution,BinaryChoice,valuation_positive,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
three neg,AGV vs. SM,0,0,18.0,8.0,0.0,0.0,26.0
three neg,AGV vs. SM,0,1,10.0,3.0,0.0,0.0,13.0
three neg,AGV vs. SM,1,0,9.0,1.0,0.0,0.0,10.0
three neg,AGV vs. SM,1,1,4.0,0.0,0.0,0.0,4.0
three neg,SM vs. RAND,0,0,0.0,26.0,1.0,0.0,27.0
three neg,SM vs. RAND,0,1,0.0,7.0,1.0,0.0,8.0
three neg,SM vs. RAND,1,0,0.0,8.0,1.0,0.0,9.0
three neg,SM vs. RAND,1,1,0.0,9.0,0.0,0.0,9.0
three neg,AGV vs. RAND,0,0,22.0,0.0,4.0,0.0,26.0
three neg,AGV vs. RAND,0,1,5.0,0.0,7.0,0.0,12.0
three neg,AGV vs. RAND,1,0,8.0,0.0,0.0,0.0,8.0
three neg,AGV vs. RAND,1,1,6.0,0.0,0.0,0.0,6.0
three neg,AGV vs. NSQ,0,0,19.0,0.0,0.0,6.0,25.0
three neg,AGV vs. NSQ,0,1,0.0,0.0,0.0,12.0,12.0
three neg,AGV vs. NSQ,1,0,8.0,0.0,0.0,3.0,11.0
three neg,AGV vs. NSQ,1,1,6.0,0.0,0.0,0.0,6.0
three neg,NSQ vs. RAND,0,0,0.0,0.0,1.0,24.0,25.0
three neg,NSQ vs. RAND,0,1,0.0,0.0,0.0,13.0,13.0
three neg,NSQ vs. RAND,1,0,0.0,0.0,0.0,11.0,11.0
three neg,NSQ vs. RAND,1,1,0.0,0.0,5.0,0.0,5.0
three neg,SM vs. NSQ,0,0,0.0,9.0,0.0,15.0,24.0
three neg,SM vs. NSQ,0,1,0.0,0.0,0.0,11.0,11.0
three neg,SM vs. NSQ,1,0,0.0,6.0,0.0,6.0,12.0
three neg,SM vs. NSQ,1,1,0.0,7.0,0.0,0.0,7.0
