treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,56.0,34.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,34.0,11.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,89.0,1.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,45.0,0.0,0.0,45.0
symmetric,AGV vs. RAND,0,84.0,0.0,6.0,0.0,90.0
symmetric,AGV vs. RAND,1,40.0,0.0,5.0,0.0,45.0
symmetric,AGV vs. NSQ,0,74.0,0.0,0.0,16.0,90.0
symmetric,AGV vs. NSQ,1,21.0,0.0,0.0,24.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,7.0,82.0,89.0
symmetric,NSQ vs. RAND,1,0.0,0.0,19.0,26.0,45.0
symmetric,SM vs. NSQ,0,0.0,51.0,0.0,39.0,90.0
symmetric,SM vs. NSQ,1,0.0,21.0,0.0,24.0,45.0
+7,AGV vs. SM,0,57.0,27.0,0.0,0.0,84.0
+7,AGV vs. SM,1,18.0,24.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,83.0,1.0,0.0,84.0
+7,SM vs. RAND,1,0.0,42.0,0.0,0.0,42.0
+7,AGV vs. RAND,0,83.0,0.0,1.0,0.0,84.0
+7,AGV vs. RAND,1,39.0,0.0,3.0,0.0,42.0
+7,AGV vs. NSQ,0,67.0,0.0,0.0,17.0,84.0
+7,AGV vs. NSQ,1,23.0,0.0,0.0,19.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,15.0,69.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,23.0,19.0,42.0
+7,SM vs. NSQ,0,0.0,49.0,0.0,35.0,84.0
+7,SM vs. NSQ,1,0.0,25.0,0.0,17.0,42.0
-7,AGV vs. SM,0,58.0,32.0,0.0,0.0,90.0
-7,AGV vs. SM,1,41.0,4.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,88.0,2.0,0.0,90.0
-7,SM vs. RAND,1,0.0,44.0,1.0,0.0,45.0
-7,AGV vs. RAND,0,84.0,0.0,6.0,0.0,90.0
-7,AGV vs. RAND,1,27.0,0.0,18.0,0.0,45.0
-7,AGV vs. NSQ,0,59.0,0.0,0.0,31.0,90.0
-7,AGV vs. NSQ,1,19.0,0.0,0.0,26.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,0.0,90.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,23.0,22.0,45.0
-7,SM vs. NSQ,0,0.0,42.0,0.0,48.0,90.0
-7,SM vs. NSQ,1,0.0,33.0,0.0,12.0,45.0
three neg,AGV vs. SM,0,24.0,12.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,18.0,0.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,33.0,3.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,18.0,0.0,0.0,18.0
three neg,AGV vs. RAND,0,33.0,0.0,3.0,0.0,36.0
three neg,AGV vs. RAND,1,8.0,0.0,10.0,0.0,18.0
three neg,AGV vs. NSQ,0,32.0,0.0,0.0,4.0,36.0
three neg,AGV vs. NSQ,1,6.0,0.0,0.0,12.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,0.0,36.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,5.0,13.0,18.0
three neg,SM vs. NSQ,0,0.0,16.0,0.0,20.0,36.0
three neg,SM vs. NSQ,1,0.0,7.0,0.0,11.0,18.0
