treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,35.0,55.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,21.0,24.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,87.0,3.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,41.0,4.0,0.0,45.0
symmetric,AGV vs. RAND,0,45.0,0.0,45.0,0.0,90.0
symmetric,AGV vs. RAND,1,16.0,0.0,29.0,0.0,45.0
symmetric,AGV vs. NSQ,0,47.0,0.0,0.0,43.0,90.0
symmetric,AGV vs. NSQ,1,27.0,0.0,0.0,18.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,75.0,15.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,15.0,30.0,45.0
symmetric,SM vs. NSQ,0,0.0,86.0,0.0,4.0,90.0
symmetric,SM vs. NSQ,1,0.0,23.0,0.0,22.0,45.0
+7,AGV vs. SM,0,31.0,53.0,0.0,0.0,84.0
+7,AGV vs. SM,1,14.0,28.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,83.0,1.0,0.0,84.0
+7,SM vs. RAND,1,0.0,40.0,2.0,0.0,42.0
+7,AGV vs. RAND,0,42.0,0.0,42.0,0.0,84.0
+7,AGV vs. RAND,1,13.0,0.0,29.0,0.0,42.0
+7,AGV vs. NSQ,0,41.0,0.0,0.0,43.0,84.0
+7,AGV vs. NSQ,1,17.0,0.0,0.0,25.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,78.0,6.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,15.0,27.0,42.0
+7,SM vs. NSQ,0,0.0,83.0,0.0,1.0,84.0
+7,SM vs. NSQ,1,0.0,25.0,0.0,17.0,42.0
-7,AGV vs. SM,0,40.0,50.0,0.0,0.0,90.0
-7,AGV vs. SM,1,31.0,14.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,89.0,1.0,0.0,90.0
-7,SM vs. RAND,1,0.0,38.0,7.0,0.0,45.0
-7,AGV vs. RAND,0,44.0,0.0,46.0,0.0,90.0
-7,AGV vs. RAND,1,3.0,0.0,42.0,0.0,45.0
-7,AGV vs. NSQ,0,46.0,0.0,0.0,44.0,90.0
-7,AGV vs. NSQ,1,36.0,0.0,0.0,9.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,83.0,7.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,14.0,31.0,45.0
-7,SM vs. NSQ,0,0.0,82.0,0.0,8.0,90.0
-7,SM vs. NSQ,1,0.0,27.0,0.0,18.0,45.0
three neg,AGV vs. SM,0,16.0,20.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,10.0,8.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,35.0,1.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,16.0,2.0,0.0,18.0
three neg,AGV vs. RAND,0,17.0,0.0,19.0,0.0,36.0
three neg,AGV vs. RAND,1,0.0,0.0,18.0,0.0,18.0
three neg,AGV vs. NSQ,0,17.0,0.0,0.0,19.0,36.0
three neg,AGV vs. NSQ,1,17.0,0.0,0.0,1.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,30.0,6.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,6.0,12.0,18.0
three neg,SM vs. NSQ,0,0.0,36.0,0.0,0.0,36.0
three neg,SM vs. NSQ,1,0.0,8.0,0.0,10.0,18.0
