treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,79.0,11.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,37.0,8.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,87.0,3.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,42.0,3.0,0.0,45.0
symmetric,AGV vs. RAND,0,81.0,0.0,9.0,0.0,90.0
symmetric,AGV vs. RAND,1,38.0,0.0,7.0,0.0,45.0
symmetric,AGV vs. NSQ,0,84.0,0.0,0.0,6.0,90.0
symmetric,AGV vs. NSQ,1,41.0,0.0,0.0,4.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,71.0,19.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,44.0,1.0,45.0
symmetric,SM vs. NSQ,0,0.0,90.0,0.0,0.0,90.0
symmetric,SM vs. NSQ,1,0.0,43.0,0.0,2.0,45.0
+7,AGV vs. SM,0,75.0,9.0,0.0,0.0,84.0
+7,AGV vs. SM,1,41.0,1.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,79.0,5.0,0.0,84.0
+7,SM vs. RAND,1,0.0,35.0,7.0,0.0,42.0
+7,AGV vs. RAND,0,75.0,0.0,9.0,0.0,84.0
+7,AGV vs. RAND,1,32.0,0.0,10.0,0.0,42.0
+7,AGV vs. NSQ,0,82.0,0.0,0.0,2.0,84.0
+7,AGV vs. NSQ,1,34.0,0.0,0.0,7.0,41.0
+7,NSQ vs. RAND,0,0.0,0.0,59.0,25.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,39.0,3.0,42.0
+7,SM vs. NSQ,0,0.0,84.0,0.0,0.0,84.0
+7,SM vs. NSQ,1,0.0,38.0,0.0,4.0,42.0
-7,AGV vs. SM,0,85.0,5.0,0.0,0.0,90.0
-7,AGV vs. SM,1,40.0,5.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,83.0,7.0,0.0,90.0
-7,SM vs. RAND,1,0.0,34.0,11.0,0.0,45.0
-7,AGV vs. RAND,0,83.0,0.0,7.0,0.0,90.0
-7,AGV vs. RAND,1,27.0,0.0,18.0,0.0,45.0
-7,AGV vs. NSQ,0,84.0,0.0,0.0,6.0,90.0
-7,AGV vs. NSQ,1,45.0,0.0,0.0,0.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,71.0,19.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,42.0,3.0,45.0
-7,SM vs. NSQ,0,0.0,87.0,0.0,3.0,90.0
-7,SM vs. NSQ,1,0.0,40.0,0.0,5.0,45.0
three neg,AGV vs. SM,0,31.0,5.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,18.0,0.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,34.0,2.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,13.0,5.0,0.0,18.0
three neg,AGV vs. RAND,0,30.0,0.0,5.0,0.0,35.0
three neg,AGV vs. RAND,1,7.0,0.0,11.0,0.0,18.0
three neg,AGV vs. NSQ,0,33.0,0.0,0.0,3.0,36.0
three neg,AGV vs. NSQ,1,18.0,0.0,0.0,0.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,31.0,5.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,17.0,1.0,18.0
three neg,SM vs. NSQ,0,0.0,35.0,0.0,1.0,36.0
three neg,SM vs. NSQ,1,0.0,13.0,0.0,5.0,18.0
