treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,17.0,73.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,14.0,31.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,88.0,2.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,42.0,3.0,0.0,45.0
symmetric,AGV vs. RAND,0,57.0,0.0,33.0,0.0,90.0
symmetric,AGV vs. RAND,1,23.0,0.0,22.0,0.0,45.0
symmetric,AGV vs. NSQ,0,45.0,0.0,0.0,45.0,90.0
symmetric,AGV vs. NSQ,1,38.0,0.0,0.0,7.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,73.0,17.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,45.0,0.0,45.0
symmetric,SM vs. NSQ,0,0.0,82.0,0.0,8.0,90.0
symmetric,SM vs. NSQ,1,0.0,40.0,0.0,5.0,45.0
+7,AGV vs. SM,0,23.0,61.0,0.0,0.0,84.0
+7,AGV vs. SM,1,16.0,26.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,79.0,5.0,0.0,84.0
+7,SM vs. RAND,1,0.0,35.0,7.0,0.0,42.0
+7,AGV vs. RAND,0,40.0,0.0,44.0,0.0,84.0
+7,AGV vs. RAND,1,20.0,0.0,22.0,0.0,42.0
+7,AGV vs. NSQ,0,46.0,0.0,0.0,38.0,84.0
+7,AGV vs. NSQ,1,19.0,0.0,0.0,23.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,77.0,7.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,41.0,1.0,42.0
+7,SM vs. NSQ,0,0.0,81.0,0.0,3.0,84.0
+7,SM vs. NSQ,1,0.0,32.0,0.0,10.0,42.0
-7,AGV vs. SM,0,26.0,64.0,0.0,0.0,90.0
-7,AGV vs. SM,1,28.0,17.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,79.0,11.0,0.0,90.0
-7,SM vs. RAND,1,0.0,39.0,6.0,0.0,45.0
-7,AGV vs. RAND,0,57.0,0.0,33.0,0.0,90.0
-7,AGV vs. RAND,1,10.0,0.0,35.0,0.0,45.0
-7,AGV vs. NSQ,0,47.0,0.0,0.0,43.0,90.0
-7,AGV vs. NSQ,1,45.0,0.0,0.0,0.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,80.0,10.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,43.0,2.0,45.0
-7,SM vs. NSQ,0,0.0,81.0,0.0,9.0,90.0
-7,SM vs. NSQ,1,0.0,39.0,0.0,6.0,45.0
three neg,AGV vs. SM,0,14.0,22.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,7.0,11.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,33.0,3.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,12.0,6.0,0.0,18.0
three neg,AGV vs. RAND,0,18.0,0.0,18.0,0.0,36.0
three neg,AGV vs. RAND,1,2.0,0.0,16.0,0.0,18.0
three neg,AGV vs. NSQ,0,18.0,0.0,0.0,18.0,36.0
three neg,AGV vs. NSQ,1,18.0,0.0,0.0,0.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,29.0,7.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,18.0,0.0,18.0
three neg,SM vs. NSQ,0,0.0,32.0,0.0,4.0,36.0
three neg,SM vs. NSQ,1,0.0,16.0,0.0,2.0,18.0
