treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,54.0,35.0,0.0,0.0,89.0
symmetric,AGV vs. SM,1,26.0,18.0,0.0,0.0,44.0
symmetric,SM vs. RAND,0,0.0,85.0,5.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,36.0,9.0,0.0,45.0
symmetric,AGV vs. RAND,0,68.0,0.0,19.0,0.0,87.0
symmetric,AGV vs. RAND,1,37.0,0.0,8.0,0.0,45.0
symmetric,AGV vs. NSQ,0,77.0,0.0,0.0,13.0,90.0
symmetric,AGV vs. NSQ,1,23.0,0.0,0.0,21.0,44.0
symmetric,NSQ vs. RAND,0,0.0,0.0,8.0,81.0,89.0
symmetric,NSQ vs. RAND,1,0.0,0.0,19.0,26.0,45.0
symmetric,SM vs. NSQ,0,0.0,33.0,0.0,56.0,89.0
symmetric,SM vs. NSQ,1,0.0,21.0,0.0,24.0,45.0
+7,AGV vs. SM,0,47.0,35.0,0.0,0.0,82.0
+7,AGV vs. SM,1,23.0,18.0,0.0,0.0,41.0
+7,SM vs. RAND,0,0.0,77.0,7.0,0.0,84.0
+7,SM vs. RAND,1,0.0,36.0,6.0,0.0,42.0
+7,AGV vs. RAND,0,70.0,0.0,10.0,0.0,80.0
+7,AGV vs. RAND,1,31.0,0.0,9.0,0.0,40.0
+7,AGV vs. NSQ,0,72.0,0.0,0.0,11.0,83.0
+7,AGV vs. NSQ,1,24.0,0.0,0.0,17.0,41.0
+7,NSQ vs. RAND,0,0.0,0.0,78.0,5.0,83.0
+7,NSQ vs. RAND,1,0.0,0.0,20.0,22.0,42.0
+7,SM vs. NSQ,0,0.0,55.0,0.0,27.0,82.0
+7,SM vs. NSQ,1,0.0,25.0,0.0,17.0,42.0
-7,AGV vs. SM,0,49.0,40.0,0.0,0.0,89.0
-7,AGV vs. SM,1,33.0,11.0,0.0,0.0,44.0
-7,SM vs. RAND,0,0.0,84.0,5.0,0.0,89.0
-7,SM vs. RAND,1,0.0,40.0,5.0,0.0,45.0
-7,AGV vs. RAND,0,78.0,0.0,12.0,0.0,90.0
-7,AGV vs. RAND,1,26.0,0.0,19.0,0.0,45.0
-7,AGV vs. NSQ,0,62.0,0.0,0.0,25.0,87.0
-7,AGV vs. NSQ,1,24.0,0.0,0.0,19.0,43.0
-7,NSQ vs. RAND,0,0.0,0.0,1.0,88.0,89.0
-7,NSQ vs. RAND,1,0.0,0.0,19.0,26.0,45.0
-7,SM vs. NSQ,0,0.0,18.0,0.0,72.0,90.0
-7,SM vs. NSQ,1,0.0,29.0,0.0,15.0,44.0
three neg,AGV vs. SM,0,19.0,16.0,0.0,0.0,35.0
three neg,AGV vs. SM,1,12.0,6.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,24.0,12.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,10.0,8.0,0.0,18.0
three neg,AGV vs. RAND,0,31.0,0.0,4.0,0.0,35.0
three neg,AGV vs. RAND,1,11.0,0.0,7.0,0.0,18.0
three neg,AGV vs. NSQ,0,30.0,0.0,0.0,6.0,36.0
three neg,AGV vs. NSQ,1,8.0,0.0,0.0,10.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,29.0,7.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,5.0,13.0,18.0
three neg,SM vs. NSQ,0,0.0,18.0,0.0,18.0,36.0
three neg,SM vs. NSQ,1,0.0,7.0,0.0,11.0,18.0
